interview_id,cognitive_ability_score_gpt4o,experience_score_gpt4o,problem_solving_score_gpt4o,reliability_score_gpt4o,professionalism_score_gpt4o,communication_score_gpt4o,cognitive_ability_score_gpt35,experience_score_gpt35,problem_solving_score_gpt35,reliability_score_gpt35,professionalism_score_gpt35,communication_score_gpt35,cognitive_ability_score_llama,experience_score_llama,problem_solving_score_llama,reliability_score_llama,professionalism_score_llama,communication_score_llama,cognitive_ability_score_recruiter,experience_score_recruiter,problem_solving_score_recruiter,reliability_score_recruiter,professionalism_score_recruiter,communication_score_recruiter,cognitive_ability_score_owner,experience_score_owner,problem_solving_score_owner,reliability_score_owner,professionalism_score_owner,communication_score_owner
intv_0001,9,8,8,8,8,8,8,7,7,7,6,6,9.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0002,8,8,8,8,7,8,8,7,7,7,6,6,8.0,8.0,8.0,9.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0003,8,8,8,7,7,7,8,7,7,7,6,6,8.0,8.0,7.0,8.0,7.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0004,8,8,8,8,8,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0005,7,4,6,6,7,7,8,7,7,7,6,6,6.0,5.0,6.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0006,7,5,6,6,7,7,8,7,7,7,6,6,6.0,7.0,7.0,8.0,7.0,7.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0007,7,5,6,7,6,7,8,7,7,7,6,6,,,,,,,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0008,8,7,7,7,8,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0009,8,7,8,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0010,8,8,8,8,8,8,8,7,7,7,6,6,8.0,8.0,7.0,8.0,7.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0011,8,8,8,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0012,8,8,8,8,7,7,8,7,7,7,6,6,9.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0013,8,8,8,8,7,8,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0014,8,8,8,8,8,7,8,7,7,7,6,6,8.0,9.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0015,8,8,7,7,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0016,8,8,7,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0017,7,4,6,7,7,7,8,7,7,7,6,6,5.0,4.0,5.0,8.0,7.0,9.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0018,8,8,8,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,9.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0019,8,8,7,8,7,7,8,7,7,7,6,6,9.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0020,6,4,5,7,7,7,8,7,7,7,6,6,7.0,6.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0021,7,6,6,6,7,7,8,7,7,7,6,6,8.0,5.0,5.0,7.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0022,9,8,8,8,7,8,8,7,7,7,6,6,8.0,9.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0023,8,8,8,8,8,7,8,7,7,7,6,6,8.0,8.0,8.0,9.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0024,7,4,5,6,6,6,8,7,7,7,6,6,8.0,6.0,7.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0025,8,8,8,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0026,8,8,8,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0027,8,8,7,7,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0028,8,8,8,7,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,9.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0029,8,7,7,7,7,8,8,7,7,7,6,6,8.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0030,8,7,7,7,6,6,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0031,8,8,8,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0032,8,8,7,8,7,8,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0033,8,8,8,7,8,8,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0034,8,7,7,7,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0035,8,8,8,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,9.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0036,8,8,7,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0037,8,7,8,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0038,8,8,8,8,7,7,8,7,7,7,6,6,8.0,8.0,8.0,9.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0039,6,5,6,7,7,7,8,7,7,7,6,6,7.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0040,8,7,7,7,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0041,6,3,5,6,6,7,8,7,7,7,6,6,6.0,3.0,5.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0042,8,8,8,8,7,7,8,7,7,7,6,6,9.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0043,9,8,8,8,8,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0044,8,8,8,7,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0045,8,8,8,7,7,7,8,7,7,7,6,6,8.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0046,8,8,8,8,8,7,8,7,7,7,6,6,9.0,8.0,8.0,9.0,8.0,9.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0047,8,8,7,8,7,7,8,7,7,7,6,6,9.0,8.0,8.0,8.0,7.0,9.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0048,8,7,7,7,7,7,8,7,7,7,6,6,9.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0049,6,3,5,6,6,6,8,7,7,7,6,6,6.0,4.0,4.0,7.0,8.0,7.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0050,8,8,7,8,7,7,8,7,7,7,6,6,8.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
